current_city,Annual_Mean_Temperature,future_Annual_Mean_Temperature,change_Annual_Mean_Temperature,Latitude
Helsinki,5.404166698,8.233333333,2.829166635,60.17556337
Amsterdam,10.04166698,11.3,1.258333015,52.34996869
Zurich,9.716666222,11.9,2.183333778,47.37998781
Marseille,15.14583302,16.4,1.254166985,43.28997906
Tokyo,15.8083334,17.8,1.991666603,35.68501691
San Bernardino,18.64999962,20.5,1.850000381,34.12038373
Tripoli,19.92916679,21.86666667,1.937499873,32.89250002
New Orleans,20.85000038,22.73333333,1.883332952,29.99500246
Dubai,27.45833397,29.03333333,1.574999364,25.22999615
Hong Kong,23.00833321,24.56666667,1.55833346,22.3049809
Kingston,27.03333282,27.8,0.766667175,17.97707662
Phnom Penh,28.29583359,29.6,1.304166412,11.55003013
Panama City,27.10416603,28.8,1.695833969,8.96801719
Lagos,27.12916756,28.7,1.570832443,6.443261653
Bandar Seri Begawan,27.35833359,29.2,1.841666412,4.883331115
Kuala Lumpur,26.72500038,29.03333333,2.308332952,3.166665872
Quito,13.61666679,15.96666667,2.349999873,-0.214988181
Guayaquil,25.39166641,27.56666667,2.175000254,-2.220033754
Recife,25.47083282,27.46666667,1.995833842,-8.075645326
Arequipa,15.39999962,16.8,1.400000381,-16.41999388
Belo Horizonte,21.125,22.96666667,1.841666667,-19.91502602
Noumea,23.14583397,24.36666667,1.220832698,-22.26252776
Pretoria,18.46666718,20.23333333,1.766666158,-25.70692055
Maseru,15.3083334,17.63333333,2.324999936,-29.31667438
Buenos Aires,17.29583359,18.43333333,1.137499746,-34.60250161
Melbourne,15.35833359,16.73333333,1.374999746,-37.82003131